FID,IID,SOL,C1,C2,C3,C4
CEU,118,0,0.0449339,-0.0906761,-0.0166175,-0.00494805
CEU,120,0,0.0471454,-0.0907586,-0.0180385,-0.00523844
CEU,121,0,0.0456592,-0.089019,-0.0163237,-0.00510806
CEU,122,0,0.0478134,-0.0891724,-0.0188532,-0.00455176
CEU,123,0,0.0460811,-0.0900893,-0.0149192,-0.00254882
CEU,125,0,0.0483639,-0.0893534,-0.0179729,-0.00520966
CEU,126,0,0.0452199,-0.0898397,-0.0168531,-0.00337074
CEU,128,0,0.0484362,-0.0863782,-0.0172874,-0.00361466
CEU,130,0,0.0472012,-0.0893222,-0.0185509,-0.00602493
CEU,133,0,0.0478218,-0.0876717,-0.0151804,-0.00586634
CEU,134,0,0.0450429,-0.0900138,-0.019239,-0.00697284
CEU,135,0,0.0438393,-0.0922485,-0.0184184,-0.00586714
CEU,136,0,0.0462206,-0.0908825,-0.0181715,-0.0074023
CEU,138,0,0.0454328,-0.0913816,-0.0173531,-0.00531533
CEU,140,0,0.0469608,-0.0907374,-0.0173594,-0.00987124
CEU,141,0,0.0466547,-0.0884767,-0.0158588,-0.00531081
CEU,142,0,0.0459922,-0.0891745,-0.012356,-0.00574617
CEU,144,0,0.0448215,-0.0898215,-0.0155951,-0.00402397
CEU,145,0,0.0483359,-0.089262,-0.0164302,-0.00992432
CEU,148,0,0.0480223,-0.0879591,-0.0164903,-0.0059523
CEU,149,0,0.0469407,-0.090941,-0.0156087,-0.00785182
CEU,150,0,0.0450004,-0.0904764,-0.0170238,-0.0060771
CEU,151,0,0.0485299,-0.0889916,-0.0159049,-0.00632274
CEU,153,0,0.049639,-0.0880403,-0.0145974,-0.00781276
CEU,154,0,0.0462467,-0.0895749,-0.0158447,-0.00690388
CEU,155,0,0.0461269,-0.0898504,-0.0179064,-0.00583279
CEU,156,0,0.046605,-0.0889835,-0.016066,-0.00350004
CEU,157,0,0.0477981,-0.0878687,-0.017093,-0.00607303
CEU,158,0,0.0481721,-0.0895083,-0.0155685,-0.00700717
CEU,159,0,0.0461727,-0.0898491,-0.0138681,-0.00519242
CEU,162,0,0.0488868,-0.0905613,-0.0145598,-0.00585259
CEU,163,0,0.0447968,-0.0902631,-0.0137016,-0.00631402
CHB,1,0,0.0933822,0.0692469,-0.00612255,0.000290799
CHB,2,0,0.0934208,0.0690251,-0.00488999,0.00122155
CHB,3,0,0.0943393,0.0708875,-0.0062217,0.00161547
CHB,4,0,0.0927614,0.0699705,-0.00414657,0.000225205
CHB,5,0,0.0955229,0.0706365,-0.00662637,0.00297014
CHB,6,0,0.0935736,0.0710738,-0.00593378,0.00284601
CHB,7,0,0.0942087,0.0698488,-0.006328,0.000222909
CHB,8,0,0.096471,0.0727437,-0.00657859,0.00224293
CHB,9,0,0.0946807,0.069203,-0.00597215,-0.00142969
CHB,10,0,0.0933631,0.0692853,-0.00740396,0.0012833
CHB,11,0,0.0935954,0.0685497,-0.00751539,0.00284038
CHB,12,0,0.0940599,0.0694975,-0.0059753,0.00141015
CHB,13,0,0.0957561,0.0715957,-0.00501517,0.00133494
CHB,14,0,0.094254,0.0707394,-0.00614177,0.00333045
CHB,15,0,0.0960607,0.0702008,-0.00264525,0.00196995
CHB,16,0,0.0950751,0.0711387,-0.00684628,0.00152644
CHB,17,0,0.0934609,0.0693211,-0.00736639,-0.000705729
CHB,18,0,0.0920751,0.0699119,-0.0032858,0.00324697
CHB,19,0,0.0937561,0.071525,-0.00170123,0.000503739
CHB,20,0,0.0959364,0.0693112,-0.0062489,0.00282704
CHB,21,0,0.0951028,0.0729422,-0.00505841,0.00119019
CHB,22,0,0.0935227,0.072484,-0.0049445,0.0011883
CHB,23,0,0.0907745,0.064882,-0.00627563,0.000969695
CHB,24,0,0.0932206,0.0670995,-0.00706318,-1.52259e-06
CHB,25,0,0.0948366,0.070683,-0.00383244,0.00430539
CHB,26,0,0.0946854,0.0686308,-0.0064375,0.00202161
CHB,27,0,0.0944617,0.0712291,-0.00456534,0.00183854
CHB,28,0,0.0958105,0.0691489,-0.00874478,-7.99944e-05
